"Year"	"Blah"	"Month"	"Date"	"SP"	"GS10"	"CPI"	"SP.1.Month.Ago"	"SP.7.Months.Ago"	"SP.13.Months.Ago"	"GS10.1.Month.Ago"	"GS10.7.Months.Ago"	"GS10.13.Months.Ago"	"Trailing.Earnings.Yield"	"Dividend.Yield"	"Dividend.Yield.1.Month.Ago"	"CPI.1.Month.Ago"	"CP.13.Months.Ago"	"SP.Change.7.1"	"SP.Change.13.7"	"SP.Change.1.0"	"GS10.NPV.Change.7.1"	"GS10.NPV.Change.13.7"	"GS10.NPV.Change.1.0"	"Log.SP.Change.1.0"	"Log.GS10.NPV.Change.1.0"	"SP.Return.1.0"	"GS10.Return.1.0"	"Log.SP.Return.1.0"	"Log.GS10.Return.1.0"
1991	1	1	"1991-1-01"	325.49	0.0809	134.6	328.75	360.39	348.6	0.0808	0.0848	0.0784	0.06615289584	0.03719530554	0.0367756654	133.8	126.1	0.91220622103832	1.03382099827883	0.990083650190114	1.02674374444078	0.957969925648668	0.999331707261998	-0.00996584428148542	-0.000668516145133128	0.993148288973447	1.00606504059533	-0.00687529177258019	0.00604672226690929
1991	2	2	"1991-2-01"	362.26	0.0785	134.8	325.49	360.03	339.97	0.0809	0.0847	0.0821	0.06681797549	0.03343813835	0.03719530554	134.6	127.4	0.904063550259701	1.05900520634174	1.11296814034225	1.02539512404407	0.982917668041104	1.016213722862	0.107030446854282	0.0160836841819699	1.11606774913725	1.02295538952867	0.109811569228751	0.0226958785197996
1991	3	3	"1991-3-01"	372.28	0.0811	135	362.26	330.75	330.45	0.0785	0.0875	0.0847	0.06402529102	0.03252927904	0.03343813835	134.8	128	1.09526832955404	1.00090785292783	1.02765969193397	1.06080146073252	0.981831119131759	0.982640017913941	0.0272840732527391	-0.017512433520877	1.03044620346314	0.989181684580608	0.0299919156801403	-0.0108772588918439
1991	4	4	"1991-4-01"	379.68	0.0804	135.2	372.28	315.41	338.46	0.0811	0.0889	0.0859	0.06367407889	0.03194795617	0.03252927904	135	128.7	1.18030499984148	0.931897417715535	1.01987751155045	1.05207994625818	0.980653456408709	1.00468859437495	0.0196825333699437	0.00467763715230745	1.02258828480378	1.01144692770828	0.0223369473139402	0.0113819073497458
1991	5	5	"1991-5-01"	377.99	0.0807	135.6	379.68	307.12	338.18	0.0804	0.0872	0.0879	0.061089793	0.03211725178	0.03194795617	135.2	128.9	1.23625944256317	0.908155420190431	0.995548883270122	1.04554634535663	1.00454826106365	0.997993315920435	-0.00446105244426111	-0.00200870016761546	0.998211212950956	1.00469331592043	-0.00179038883905697	0.00468233665264961
1991	6	6	"1991-6-01"	378.29	0.0828	136	377.99	315.29	350.25	0.0807	0.0839	0.0876	0.05899164794	0.03211821618	0.03211725178	135.6	129.2	1.19886453741	0.900185581727338	1.00079367179026	1.02140463018203	1.02439642763459	0.986085071369162	0.000793356999353124	-0.0140126488222756	1.00347010943859	0.992810071369162	0.00346410250130977	-0.00721590073428765
1991	7	7	"1991-7-01"	380.23	0.0827	136.2	378.29	328.75	360.39	0.0828	0.0808	0.0848	0.05949504208	0.03206822187	0.03211821618	136	129.9	1.15069201520913	0.91220622103832	1.005128340691	0.986747687018249	1.02674374444078	1.00066291258251	0.00511523553791359	0.000662692953023103	1.007804858706	1.00756291258251	0.00777455835415239	0.00753445713977116
1991	8	8	"1991-8-01"	389.4	0.079	136.6	380.23	325.49	360.03	0.0827	0.0809	0.0847	0.06524565382	0.03142449923	0.03206822187	136.2	130.4	1.16817720974531	0.904063550259701	1.02411698182679	0.9880675735148	1.02539512404407	1.02493967487889	0.0238307601576404	0.0246337570817255	1.02678933364929	1.03183134154555	0.0264367820073375	0.0313352249685127
1991	9	9	"1991-9-01"	387.2	0.0765	137.2	389.4	362.26	330.75	0.079	0.0785	0.0875	0.0689261596	0.03171487603	0.03142449923	136.6	131.6	1.07491856677524	1.09526832955404	0.994350282485876	0.996629773665015	1.06080146073252	1.01704328598919	-0.00566573753567731	0.01689967858858	0.996968990755042	1.02362661932252	-0.00303561205660857	0.0233518305559389
1991	1	10	"1991-10-01"	386.88	0.0753	137.4	387.2	372.28	315.41	0.0765	0.0811	0.0889	0.07035263089	0.03167209471	0.03171487603	137.2	132.7	1.04007736112603	1.18030499984148	0.999173553719008	1.0313596462201	1.05207994625818	1.00822562590129	-0.000826787975994074	0.00819197982134351	1.00181646005484	1.01460062590129	0.00181481228637815	0.0144950630448888
