Country Name	Country Code	Series Name	Series Code	2016 [YR2016]
Italy	ITA	Female population 55-59	SP.POP.5559.FE	2181411
Italy	ITA	Female population 65-69	SP.POP.6569.FE	1961052
Italy	ITA	Female population 70-74	SP.POP.7074.FE	1638929
Italy	ITA	Female population 75-79	SP.POP.7579.FE	1551878
Italy	ITA	Female population 80+	SP.POP.80UP.FE	2647692
Italy	ITA	Male population 00-04	SP.POP.0004.MA	1303907
Italy	ITA	Male population 05-09	SP.POP.0509.MA	1464172
Italy	ITA	Male population 10-14	SP.POP.1014.MA	1476176
Italy	ITA	Male population 15-19	SP.POP.1519.MA	1461640
Italy	ITA	Male population 20-24	SP.POP.2024.MA	1513865
Italy	ITA	Male population 25-29	SP.POP.2529.MA	1576101
Italy	ITA	Male population 30-34	SP.POP.3034.MA	1693229
Italy	ITA	Male population 35-39	SP.POP.3539.MA	1962180
Italy	ITA	Male population 40-44	SP.POP.4044.MA	2334951
Italy	ITA	Male population 45-49	SP.POP.4549.MA	2456232
Italy	ITA	Male population 50-54	SP.POP.5054.MA	2394610
Italy	ITA	Male population 55-59	SP.POP.5559.MA	2088776
Italy	ITA	Male population 60-64	SP.POP.6064.MA	1832371
Italy	ITA	Male population 65-69	SP.POP.6569.MA	1777256
Italy	ITA	Male population 70-74	SP.POP.7074.MA	1411624
Italy	ITA	Male population 75-79	SP.POP.7579.MA	1233128
Italy	ITA	Male population 80+	SP.POP.80UP.MA	1546663
India	IND	Female population 00-04	SP.POP.0004.FE	56849605
India	IND	Female population 05-09	SP.POP.0509.FE	59719497
India	IND	Female population 10-14	SP.POP.1014.FE	60007545
India	IND	Female population 15-19	SP.POP.1519.FE	58698408
India	IND	Female population 20-24	SP.POP.2024.FE	56472479
India	IND	Female population 25-29	SP.POP.2529.FE	54525850
India	IND	Female population 30-34	SP.POP.3034.FE	51071169
India	IND	Female population 35-39	SP.POP.3539.FE	45210914
India	IND	Female population 40-44	SP.POP.4044.FE	40096508
India	IND	Female population 45-49	SP.POP.4549.FE	35353277
India	IND	Female population 50-54	SP.POP.5054.FE	31080970
India	IND	Female population 60-64	SP.POP.6064.FE	21963632
India	IND	Female population 55-59	SP.POP.5559.FE	26554872
India	IND	Female population 65-69	SP.POP.6569.FE	15575884
India	IND	Female population 70-74	SP.POP.7074.FE	10779233
India	IND	Female population 75-79	SP.POP.7579.FE	7313894
India	IND	Female population 80+	SP.POP.80UP.FE	6605711
India	IND	Male population 00-04	SP.POP.0004.MA	63148167
India	IND	Male population 05-09	SP.POP.0509.MA	66568797
India	IND	Male population 10-14	SP.POP.1014.MA	67062555
India	IND	Male population 15-19	SP.POP.1519.MA	65364924
India	IND	Male population 20-24	SP.POP.2024.MA	62556696
India	IND	Male population 25-29	SP.POP.2529.MA	59344165
India	IND	Male population 30-34	SP.POP.3034.MA	55060122
India	IND	Male population 35-39	SP.POP.3539.MA	48329464
India	IND	Male population 40-44	SP.POP.4044.MA	42608903
India	IND	Male population 45-49	SP.POP.4549.MA	37279324
India	IND	Male population 50-54	SP.POP.5054.MA	32500749
India	IND	Male population 55-59	SP.POP.5559.MA	27446430
India	IND	Male population 60-64	SP.POP.6064.MA	22389822
India	IND	Male population 65-69	SP.POP.6569.MA	15024892
India	IND	Male population 70-74	SP.POP.7074.MA	9886619
India	IND	Male population 75-79	SP.POP.7579.MA	6296167
India	IND	Male population 80+	SP.POP.80UP.MA	5424113
Israel	ISR	Female population 00-04	SP.POP.0004.FE	426902
Israel	ISR	Female population 05-09	SP.POP.0509.FE	385989
Israel	ISR	Female population 10-14	SP.POP.1014.FE	347101
Israel	ISR	Female population 15-19	SP.POP.1519.FE	322113
Israel	ISR	Female population 20-24	SP.POP.2024.FE	294501
Israel	ISR	Female population 25-29	SP.POP.2529.FE	290386
Israel	ISR	Female population 30-34	SP.POP.3034.FE	291619
Israel	ISR	Female population 35-39	SP.POP.3539.FE	288900
Israel	ISR	Female population 40-44	SP.POP.4044.FE	270158
Israel	ISR	Female population 45-49	SP.POP.4549.FE	230876
Israel	ISR	Female population 50-54	SP.POP.5054.FE	209157
Israel	ISR	Female population 60-64	SP.POP.6064.FE	203573
Israel	ISR	Female population 55-59	SP.POP.5559.FE	196613
Israel	ISR	Female population 65-69	SP.POP.6569.FE	179613
Israel	ISR	Female population 70-74	SP.POP.7074.FE	117098
Israel	ISR	Female population 75-79	SP.POP.7579.FE	91492
Israel	ISR	Female population 80+	SP.POP.80UP.FE	158252
